,col
0,"В аптеку зашли 2 молодых человека. Фармацевт спрашивает:
-Вам что нужно?
-Глюконата кальция 2 упаковки.
-И всё?
-Нет! Еще 2 пачки активированного угля.
-Господи! А что у вас???
.
.
.
.
.
.
.
.
-Соревнования по шашкам"
1,Штирлиц подошёл к провалу. Ещё никогда Штирлиц не был так близок к провалу.
2,"Посадили мужика в тюрьму. Ему главный сходу говорит: 
-Ну че, готовься в дочки-матери играть будем. Ты кем будешь мамой или папой? 
Мужик прикинул, что уж лучше видимо папой и отвечает: 
-Ну папой буду. 
.
.
.
.
.
.
.
.
-Ну папой так папой. Сценарий такой: приходит папа домой с работы и начинает сосать у мамы )(уй."
3,"Приходит чукча к врачу и просит сделать ему пластическую операцию. 
— Зачем это Вам? - спрашивает доктор. 
— Да понимаете, доктор, по моему лицу сразу видно, что я чукча. И все надо мной смеются, все меня за дурака держат. А чукча
не дурак, чукча умный! Не хочу, чтобы надо мной смеялись, не хочу больше быть похожим на чукчу! Сделайте мне пластическую операцию! 
В общем, уломал он доктора. Делает он ему пластическую операцию, а сам и думает: ""Интересно, а может быть чукчу все-таки не просто так за дурака все считают? Надо проверить…"" Взял он, и вскрыл чукче череп. Глядь — а там всего одна извилина… Все стало доктору ясно, посмеялся он над чукчей, и решил подшутить над ним еще больше, чем это сделала матушка-природа. Взял он эту извилину, да и распрямил… Операцию доделал… 
Чукча от наркоза отходит, подходит к зеркалу, смотрится в него и говорит: 
— Ой, ты дивысь якій гарный хлопец зробился!"
4,
5,"Попадают три мужика в рай, там их бог встречает и говорит:
-Рай у нас большой, так что вам всем транспортные средства раздать надобно, но сначала я вам вопросы задам. 
Мужики стали слушать
-Итак, вот ты. Сколько раз жене изменял? - спрашивает бог первого мужика.
Тот мнётся и отвечает:
-Три раза изменил
-Ну вот держи жигуль, коль так - отвечает бог
-А я один раз изменил жёнушке - воскликнул второй мужик
-Ну коль так, то держи ладу новую
-А я вот ни разу жене своей не изменил - говорит третит мужик
Бог ему в ответ:
-Эх, хороший ты парень был. На вот тебе мерседес!
Проходит время, мужики встретиться захотели. Приехали на своих машинах, двое радостные, а водитель мерседеса в печали. 
-Что стяслось у тебя, старина? Живём теперь, ни налогов, ни работы. Не жизнь, а сказка. Машины дали, а тебе аж целый мерседес! Чтоже  ты поникший такой?
-Да пока ехал, жену свою встретил - отвечает мужик,- на роликах каталась..."
6,"— Мы с братом близнецы. Отец нас не различал. А играть водил нас на заброшенную стройку. Однажды мой брат упал и разбил себе лоб, получив шрам на всю жизнь. Отец сказал: «Ну, наконец-то». И перестал нас водить на ту стройку."
7,"Ашот летит на отдых на море и самолёт терпит крушение над океаном. Ашот и летевшая этим же рейсом Анджелина Джоли – единственные доплыли до необитаемого острова и стали там жить. Завязался бурный роман. Но месяца через три Ашот заметно погрустнел, стал задумчив и печален. Анджелина спросила:
— Ашотик , дорогой, что случилось? Ты меня больше не любишь?
— Милая, я тебя очень люблю, но не могла бы ты на несколько минут надеть мои брюки, пиджак и кепку? И ещё подрисуй себе углём усики!
— Ашот , ты же не гей ? Зачем тебе это?
— Анжелочка, ну оденься так, как я прошу!
Анджелина напялила на себя мужские шмотки и подрисовала усы.
.
.
Ашот обнял её и зашептал на ухо:
— Карен, брат! Ты не поверишь, кого я ебу уже три месяца!"
8,"Умер бухгалтер. Апостол Петр посмотрел в книгу его жизни, почесал нимб и говорит:
–У тебя грехов и праведных дел поровну. Поэтому я тебе дам возможность сделать выбор - рай или ад. 
И повел на экскурсию. Заходят в ад, а там куча клерков метушится, суетятся, документы носят, принтеры бумагу жуют, компы виснут, серваки тупят, кофе литрами, дым сигаретный тучей висит, начальство орет, телефоны звонят: квартал закрывают. 
Бухгалтер отшатнулся - ""О,такого мне и при жизни хватило! Хочу посмотреть на рай."" 
Приходят в рай, открывают дверь и... Та же самая картина - клерки,беготня,документы, компы,звонки, крики. Бухгалтер в недоумении:
–Тут же то же самое!
–Не совсем. Тут у них баланс сойдется!"
9,"На рынке стоит глухой продавец инжира. Его спрашивают:
–Почем инжир?
–300 рублей.
–Так вы же глухой! 
–Так хули вы у меня ещё спросить-то можете?"
